Entry date & time,Settlement,Bank,Liability person,Reference Number,Operated currency,Amount,Trader Wallet Id
,Bank,888888888801,,FIXTURE-DEP-0001,,1001,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0002,,1002,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0003,,1003,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0004,,1004,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0005,,1005,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0006,,1006,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0007,,1007,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0008,,1008,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0009,,1009,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0010,,1010,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0011,,1011,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0012,,1012,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0013,,1013,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0014,,1014,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0015,,1015,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0016,,1016,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0017,,1017,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0018,,1018,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0019,,1019,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0020,,1020,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0021,,1021,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0022,,1022,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0023,,1023,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0024,,1024,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0025,,1025,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0026,,1026,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0027,,1027,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0028,,1028,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0029,,1029,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0030,,1030,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0031,,1031,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0032,,1032,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0033,,1033,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0034,,1034,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0035,,1035,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0036,,1036,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0037,,1037,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0038,,1038,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0039,,1039,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0040,,1040,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0041,,1041,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0042,,1042,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0043,,1043,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0044,,1044,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0045,,1045,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0046,,1046,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0047,,1047,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0048,,1048,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0049,,1049,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0050,,1050,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0051,,1051,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0052,,1052,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0053,,1053,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0054,,1054,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0055,,1055,BULK-PLAYER-001
,Bank,888888888801,,FIXTURE-DEP-0056,,1056,BULK-PLAYER-001
